矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
16,0.004,0.009,0.003,0.010,1.11,2.12,0.04,0.00,0.00
19,0.002,0.003,0.003,0.003,0.90,2.97,0.06,0.00,0.00
32,0.008,0.007,0.012,0.075,0.69,8.25,0.17,0.00,0.00
39,0.018,0.018,0.017,0.025,1.07,12.19,0.25,0.01,0.00
58,0.035,0.056,0.033,0.065,1.07,26.73,0.56,0.01,0.00
64,0.026,0.012,0.030,0.014,0.89,32.50,0.68,0.02,0.00
78,0.038,0.011,0.043,0.027,0.89,48.14,1.00,0.02,0.00
97,0.065,0.020,0.062,0.014,1.04,74.27,1.55,0.04,0.00
117,0.085,0.014,0.085,0.018,0.99,107.86,2.25,0.05,0.00
128,0.101,0.011,0.108,0.017,0.94,129.00,2.69,0.06,0.00
137,0.137,0.021,0.129,0.026,1.06,147.70,3.08,0.07,0.00
156,0.154,0.042,0.149,0.014,1.04,191.34,3.99,0.09,0.01
256,0.507,0.176,0.419,0.035,1.21,514.00,10.71,0.25,0.02
384,0.977,0.090,0.937,0.069,1.04,1155.00,24.06,0.56,0.04
495,1.702,0.166,1.645,0.279,1.03,1918.12,39.96,0.94,0.06
512,2.058,0.281,1.768,0.228,1.16,2052.00,42.75,1.00,0.07
640,2.973,0.294,2.765,0.407,1.08,3205.00,66.77,1.56,0.10
768,5.053,0.385,3.835,0.341,1.32,4614.00,96.12,2.25,0.15
896,6.701,0.694,5.377,0.433,1.25,6279.00,130.81,3.07,0.20
991,14.160,3.486,6.506,0.527,2.18,7680.25,160.01,3.75,0.25
1024,11.668,1.176,6.998,0.556,1.67,8200.00,170.83,4.00,0.27
1487,43.137,1.887,14.570,0.770,2.96,17286.38,360.13,8.44,0.56
1982,62.398,1.723,26.630,1.268,2.34,30705.52,639.70,14.99,1.00
2048,60.914,2.238,28.100,1.756,2.17,32784.00,683.00,16.01,1.07
2478,102.424,2.212,40.274,1.459,2.54,47991.89,999.83,23.43,1.56
2974,152.254,2.622,59.146,2.022,2.57,69122.27,1440.05,33.75,2.25
3470,212.611,2.452,81.037,1.529,2.62,94096.64,1960.35,45.95,3.06
3965,361.822,3.688,107.688,2.321,3.36,122853.05,2559.44,59.99,4.00
4096,364.051,6.484,112.052,2.800,3.25,131104.00,2731.33,64.02,4.27
