矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
1,0.00000,0.00000,0.00000,0.00000,0.000,0.02,0.00,0.00,0.00
2,0.00000,0.00000,0.00000,0.00000,0.000,0.05,0.00,0.00,0.00
3,0.00000,0.00000,0.00000,0.00000,0.000,0.09,0.00,0.00,0.00
4,0.00000,0.00000,0.00000,0.00000,0.000,0.16,0.00,0.00,0.00
5,0.00000,0.00000,0.00000,0.00000,0.000,0.23,0.00,0.00,0.00
6,0.00000,0.00000,0.00000,0.00000,0.000,0.33,0.01,0.00,0.00
7,0.00000,0.00000,0.00005,0.00103,0.000,0.44,0.01,0.00,0.00
8,0.00000,0.00000,0.00000,0.00000,0.000,0.56,0.01,0.00,0.00
9,0.00000,0.00000,0.00000,0.00000,0.000,0.70,0.01,0.00,0.00
10,0.00000,0.00000,0.00000,0.00000,0.000,0.86,0.02,0.00,0.00
11,0.00000,0.00000,0.00000,0.00000,0.000,1.03,0.02,0.00,0.00
12,0.00000,0.00000,0.00000,0.00000,0.000,1.22,0.03,0.00,0.00
13,0.00000,0.00000,0.00005,0.00077,0.000,1.42,0.03,0.00,0.00
14,0.00000,0.00000,0.00000,0.00000,0.000,1.64,0.03,0.00,0.00
15,0.00000,0.00000,0.00000,0.00000,0.000,1.88,0.04,0.00,0.00
16,0.00000,0.00000,0.00000,0.00000,0.000,2.12,0.04,0.00,0.00
17,0.00000,0.00000,0.00000,0.00000,0.000,2.39,0.05,0.00,0.00
18,0.00000,0.00000,0.00000,0.00000,0.000,2.67,0.06,0.00,0.00
19,0.00000,0.00000,0.00002,0.00045,0.000,2.97,0.06,0.00,0.00
20,0.00000,0.00000,0.00000,0.00000,0.000,3.28,0.07,0.00,0.00
21,0.00000,0.00000,0.00000,0.00000,0.000,3.61,0.08,0.00,0.00
22,0.00000,0.00000,0.00000,0.00000,0.000,3.95,0.08,0.00,0.00
23,0.00000,0.00000,0.00000,0.00000,0.000,4.31,0.09,0.00,0.00
24,0.00003,0.00071,0.00000,0.00000,32000.000,4.69,0.10,0.00,0.00
25,0.00000,0.00000,0.00000,0.00000,0.000,5.08,0.11,0.00,0.00
26,0.00000,0.00000,0.00000,0.00000,0.000,5.48,0.11,0.00,0.00
27,0.00000,0.00000,0.00002,0.00040,0.000,5.91,0.12,0.00,0.00
28,0.00000,0.00000,0.00007,0.00161,0.000,6.34,0.13,0.00,0.00
29,0.00002,0.00040,0.00000,0.00000,18000.000,6.80,0.14,0.00,0.00
30,0.00002,0.00045,0.00000,0.00000,20000.000,7.27,0.15,0.00,0.00
31,0.00000,0.00000,0.00000,0.00000,0.000,7.75,0.16,0.00,0.00
32,0.00000,0.00000,0.00000,0.00000,0.000,8.25,0.17,0.00,0.00
33,0.00051,0.01148,0.00000,0.00000,514000.000,8.77,0.18,0.00,0.00
34,0.00035,0.00641,0.00000,0.00000,350000.000,9.30,0.19,0.00,0.00
35,0.00001,0.00018,0.00000,0.00000,8000.000,9.84,0.21,0.00,0.00
36,0.00002,0.00049,0.00000,0.00000,22000.000,10.41,0.22,0.01,0.00
37,0.00003,0.00076,0.00000,0.00000,34000.000,10.98,0.23,0.01,0.00
38,0.00003,0.00063,0.00000,0.00000,28000.000,11.58,0.24,0.01,0.00
39,0.00000,0.00000,0.00000,0.00000,0.000,12.19,0.25,0.01,0.00
40,0.00004,0.00056,0.00019,0.00253,0.219,12.81,0.27,0.01,0.00
41,0.00000,0.00000,0.00000,0.00004,0.000,13.45,0.28,0.01,0.00
42,0.00000,0.00000,0.00000,0.00000,0.000,14.11,0.29,0.01,0.00
43,0.00004,0.00089,0.00000,0.00004,20.990,14.78,0.31,0.01,0.00
44,0.00016,0.00366,0.00002,0.00040,9.111,15.47,0.32,0.01,0.00
45,0.00000,0.00004,0.00002,0.00045,0.100,16.17,0.34,0.01,0.00
46,0.00100,0.00000,0.00000,0.00000,1000000.000,16.89,0.35,0.01,0.00
47,0.00103,0.00076,0.00000,0.00000,1034000.000,17.62,0.37,0.01,0.00
48,0.00119,0.00188,0.00000,0.00004,592.704,18.38,0.38,0.01,0.00
49,0.00115,0.00187,0.00000,0.00000,1150000.000,19.14,0.40,0.01,0.00
50,0.00112,0.00194,0.00000,0.00004,559.720,19.92,0.42,0.01,0.00
51,0.00110,0.00188,0.00000,0.00000,1102000.000,20.72,0.43,0.01,0.00
52,0.00181,0.01411,0.00000,0.00000,1814000.000,21.53,0.45,0.01,0.00
53,0.00131,0.00624,0.00000,0.00000,1308000.000,22.36,0.47,0.01,0.00
54,0.00111,0.00193,0.00008,0.00139,13.900,23.20,0.48,0.01,0.00
55,0.00103,0.00058,0.00000,0.00000,1026000.000,24.06,0.50,0.01,0.00
56,0.00188,0.01782,0.00020,0.00442,9.380,24.94,0.52,0.01,0.00
57,0.00100,0.00004,0.00039,0.00355,2.556,25.83,0.54,0.01,0.00
58,0.00101,0.00008,0.00005,0.00060,18.629,26.73,0.56,0.01,0.00
59,0.00130,0.00393,0.00008,0.00112,15.853,27.66,0.58,0.01,0.00
60,0.00118,0.00071,0.00000,0.00004,588.706,28.59,0.60,0.01,0.00
61,0.00192,0.00180,0.00000,0.00000,1924000.000,29.55,0.62,0.01,0.00
62,0.00210,0.00167,0.00036,0.00506,5.855,30.52,0.64,0.01,0.00
63,0.00211,0.00156,0.00001,0.00008,351.941,31.50,0.66,0.02,0.00
64,0.00206,0.00108,0.00000,0.00000,2064000.000,32.50,0.68,0.02,0.00
65,0.00246,0.00263,0.00100,0.00004,2.455,33.52,0.70,0.02,0.00
66,0.00210,0.00214,0.00037,0.00049,5.727,34.55,0.72,0.02,0.00
67,0.00203,0.00063,0.00002,0.00049,84.496,35.59,0.74,0.02,0.00
68,0.00205,0.00080,0.00094,0.00023,2.172,36.66,0.76,0.02,0.00
69,0.00200,0.00000,0.00016,0.00064,12.346,37.73,0.79,0.02,0.00
70,0.00200,0.00000,0.00081,0.00263,2.481,38.83,0.81,0.02,0.00
71,0.00244,0.00148,0.00011,0.00060,22.611,39.94,0.83,0.02,0.00
72,0.00235,0.00049,0.00064,0.00279,3.667,41.06,0.86,0.02,0.00
73,0.00200,0.00004,0.00035,0.00074,5.720,42.20,0.88,0.02,0.00
74,0.00243,0.00050,0.00100,0.00060,2.425,43.36,0.90,0.02,0.00
75,0.00329,0.00335,0.00107,0.00148,3.075,44.53,0.93,0.02,0.00
76,0.00308,0.00174,0.00100,0.00004,3.072,45.72,0.95,0.02,0.00
77,0.00327,0.00321,0.00119,0.00134,2.749,46.92,0.98,0.02,0.00
78,0.00337,0.00242,0.00100,0.00000,3.368,48.14,1.00,0.02,0.00
79,0.00347,0.00580,0.00100,0.00004,3.463,49.38,1.03,0.02,0.00
80,0.00312,0.00206,0.00112,0.00120,2.799,50.62,1.05,0.02,0.00
81,0.00440,0.00506,0.00103,0.00067,4.264,51.89,1.08,0.03,0.00
82,0.00426,0.00429,0.00105,0.00107,4.065,53.17,1.11,0.03,0.00
83,0.00404,0.00094,0.00126,0.00285,3.203,54.47,1.13,0.03,0.00
84,0.00414,0.00218,0.00103,0.00071,4.010,55.78,1.16,0.03,0.00
85,0.00423,0.00272,0.00128,0.00288,3.298,57.11,1.19,0.03,0.00
86,0.00407,0.00069,0.00144,0.00231,2.831,58.45,1.22,0.03,0.00
87,0.00478,0.00272,0.00119,0.00164,4.024,59.81,1.25,0.03,0.00
88,0.00511,0.00149,0.00220,0.00277,2.327,61.19,1.27,0.03,0.00
89,0.00502,0.00054,0.00111,0.00101,4.518,62.58,1.30,0.03,0.00
90,0.00503,0.00058,0.00110,0.00105,4.577,63.98,1.33,0.03,0.00
91,0.00523,0.00325,0.00159,0.00412,3.293,65.41,1.36,0.03,0.00
92,0.00526,0.00411,0.00165,0.00088,3.194,66.84,1.39,0.03,0.00
93,0.00508,0.00122,0.00118,0.00039,4.323,68.30,1.42,0.03,0.00
94,0.00607,0.00118,0.00116,0.00038,5.224,69.77,1.45,0.03,0.00
95,0.00623,0.00270,0.00229,0.00305,2.724,71.25,1.48,0.03,0.00
96,0.00621,0.00249,0.00113,0.00034,5.488,72.75,1.52,0.04,0.00
