矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
16,0.001,0.001,0.002,0.027,0.60,2.12,0.04,0.00,0.00
19,0.002,0.007,0.002,0.003,1.08,2.97,0.06,0.00,0.00
32,0.005,0.002,0.005,0.005,0.97,8.25,0.17,0.00,0.00
39,0.009,0.011,0.009,0.016,0.95,12.19,0.25,0.01,0.00
58,0.019,0.015,0.018,0.005,1.03,26.73,0.56,0.01,0.00
64,0.022,0.007,0.024,0.036,0.92,32.50,0.68,0.02,0.00
78,0.034,0.010,0.034,0.009,1.00,48.14,1.00,0.02,0.00
97,0.056,0.018,0.051,0.012,1.09,74.27,1.55,0.04,0.00
117,0.076,0.019,0.087,0.020,0.87,107.86,2.25,0.05,0.00
128,0.088,0.024,0.088,0.009,1.01,129.00,2.69,0.06,0.00
137,0.101,0.014,0.114,0.027,0.88,147.70,3.08,0.07,0.00
156,0.132,0.019,0.130,0.014,1.02,191.34,3.99,0.09,0.01
256,0.352,0.040,0.376,0.058,0.94,514.00,10.71,0.25,0.02
384,0.833,0.137,0.879,0.175,0.95,1155.00,24.06,0.56,0.04
495,1.596,0.317,1.394,0.190,1.14,1918.12,39.96,0.94,0.06
512,1.883,0.325,1.465,0.136,1.29,2052.00,42.75,1.00,0.07
640,2.477,0.224,2.285,0.237,1.08,3205.00,66.77,1.56,0.10
768,4.105,0.443,3.325,0.286,1.23,4614.00,96.12,2.25,0.15
896,5.077,0.439,4.553,0.427,1.11,6279.00,130.81,3.07,0.20
991,8.988,1.942,5.519,0.506,1.63,7680.25,160.01,3.75,0.25
1024,9.319,1.048,5.941,0.551,1.57,8200.00,170.83,4.00,0.27
1487,30.137,5.090,12.277,0.536,2.45,17286.38,360.13,8.44,0.56
1982,49.288,2.609,22.281,1.416,2.21,30705.52,639.70,14.99,1.00
2048,48.242,4.831,25.622,2.717,1.88,32784.00,683.00,16.01,1.07
2478,86.479,1.098,34.493,0.311,2.51,47991.89,999.83,23.43,1.56
2974,116.927,3.146,47.821,0.666,2.45,69122.27,1440.05,33.75,2.25
3470,178.637,4.029,67.910,6.358,2.63,94096.64,1960.35,45.95,3.06
3965,323.235,11.202,93.731,8.189,3.45,122853.05,2559.44,59.99,4.00
4096,309.301,8.365,99.299,6.776,3.11,131104.00,2731.33,64.02,4.27
