矩阵大小,列访问时间(ms),列StdDev,行访问时间(ms),行StdDev,加速比,内存占用(KB),L1缓存倍数,L2缓存倍数,L3缓存倍数
1,0.00000,0.00000,0.00000,0.00000,0.000,0.02,0.00,0.00,0.00
2,0.00000,0.00000,0.00000,0.00000,0.000,0.05,0.00,0.00,0.00
3,0.00000,0.00000,0.00001,0.00018,0.000,0.09,0.00,0.00,0.00
4,0.00000,0.00000,0.00000,0.00000,0.000,0.16,0.00,0.00,0.00
5,0.00000,0.00000,0.00000,0.00000,0.000,0.23,0.00,0.00,0.00
6,0.00006,0.00138,0.00000,0.00000,62000.000,0.33,0.01,0.00,0.00
7,0.00000,0.00000,0.00000,0.00000,0.000,0.44,0.01,0.00,0.00
8,0.00000,0.00000,0.00000,0.00000,0.000,0.56,0.01,0.00,0.00
9,0.00000,0.00000,0.00000,0.00000,0.000,0.70,0.01,0.00,0.00
10,0.00000,0.00000,0.00000,0.00000,0.000,0.86,0.02,0.00,0.00
11,0.00000,0.00000,0.00000,0.00000,0.000,1.03,0.02,0.00,0.00
12,0.00000,0.00000,0.00001,0.00022,0.000,1.22,0.03,0.00,0.00
13,0.00000,0.00000,0.00000,0.00000,0.000,1.42,0.03,0.00,0.00
14,0.00000,0.00000,0.00001,0.00022,0.000,1.64,0.03,0.00,0.00
15,0.00000,0.00000,0.00000,0.00000,0.000,1.88,0.04,0.00,0.00
16,0.00000,0.00000,0.00000,0.00000,0.000,2.12,0.04,0.00,0.00
17,0.00000,0.00000,0.00000,0.00000,0.000,2.39,0.05,0.00,0.00
18,0.00000,0.00000,0.00000,0.00000,0.000,2.67,0.06,0.00,0.00
19,0.00000,0.00000,0.00000,0.00000,0.000,2.97,0.06,0.00,0.00
20,0.00030,0.00661,0.00000,0.00000,296000.000,3.28,0.07,0.00,0.00
21,0.00000,0.00000,0.00000,0.00000,0.000,3.61,0.08,0.00,0.00
22,0.00000,0.00000,0.00000,0.00000,0.000,3.95,0.08,0.00,0.00
23,0.00000,0.00000,0.00000,0.00000,0.000,4.31,0.09,0.00,0.00
24,0.00000,0.00000,0.00000,0.00000,0.000,4.69,0.10,0.00,0.00
25,0.00000,0.00000,0.00000,0.00000,0.000,5.08,0.11,0.00,0.00
26,0.00002,0.00054,0.00000,0.00000,24000.000,5.48,0.11,0.00,0.00
27,0.00000,0.00000,0.00000,0.00000,0.000,5.91,0.12,0.00,0.00
28,0.00000,0.00004,0.00003,0.00067,0.067,6.34,0.13,0.00,0.00
29,0.00000,0.00000,0.00000,0.00000,0.000,6.80,0.14,0.00,0.00
30,0.00010,0.00215,0.00007,0.00156,1.405,7.27,0.15,0.00,0.00
31,0.00010,0.00210,0.00000,0.00000,102000.000,7.75,0.16,0.00,0.00
32,0.00001,0.00009,0.00000,0.00000,8000.000,8.25,0.17,0.00,0.00
33,0.00000,0.00000,0.00000,0.00000,0.000,8.77,0.18,0.00,0.00
34,0.00000,0.00006,0.00005,0.00107,0.083,9.30,0.19,0.00,0.00
35,0.00076,0.00043,0.00000,0.00000,760000.000,9.84,0.21,0.00,0.00
36,0.00100,0.00009,0.00000,0.00000,996000.000,10.41,0.22,0.01,0.00
37,0.00182,0.01930,0.00000,0.00004,911.544,10.98,0.23,0.01,0.00
38,0.00083,0.00087,0.00000,0.00000,828000.000,11.58,0.24,0.01,0.00
39,0.00030,0.00196,0.00000,0.00000,304000.000,12.19,0.25,0.01,0.00
40,0.00109,0.00206,0.00000,0.00000,1088000.000,12.81,0.27,0.01,0.00
41,0.00041,0.00074,0.00000,0.00000,408000.000,13.45,0.28,0.01,0.00
42,0.00000,0.00006,0.00004,0.00085,0.091,14.11,0.29,0.01,0.00
43,0.00010,0.00030,0.00002,0.00054,4.083,14.78,0.31,0.01,0.00
44,0.00123,0.00554,0.00006,0.00103,21.964,15.47,0.32,0.01,0.00
45,0.00107,0.00077,0.00000,0.00000,1074000.000,16.17,0.34,0.01,0.00
46,0.00101,0.00013,0.00002,0.00054,41.915,16.89,0.35,0.01,0.00
47,0.00100,0.00000,0.00000,0.00000,1000000.000,17.62,0.37,0.01,0.00
48,0.00130,0.00614,0.00000,0.00004,650.675,18.38,0.38,0.01,0.00
49,0.00176,0.00042,0.00020,0.00069,8.820,19.14,0.40,0.01,0.00
50,0.00178,0.00042,0.00000,0.00004,888.556,19.92,0.42,0.01,0.00
51,0.00195,0.00094,0.00000,0.00004,972.514,20.72,0.43,0.01,0.00
52,0.00141,0.00074,0.00100,0.00000,1.406,21.53,0.45,0.01,0.00
53,0.00147,0.00218,0.00000,0.00000,1472000.000,22.36,0.47,0.01,0.00
54,0.00102,0.00013,0.00000,0.00000,1018000.000,23.20,0.48,0.01,0.00
55,0.00203,0.00058,0.00000,0.00000,2026000.000,24.06,0.50,0.01,0.00
56,0.00170,0.00178,0.00000,0.00004,847.576,24.94,0.52,0.01,0.00
57,0.00183,0.00038,0.00019,0.00084,9.610,25.83,0.54,0.01,0.00
58,0.00195,0.00021,0.00106,0.00134,1.842,26.73,0.56,0.01,0.00
59,0.00200,0.00000,0.00006,0.00065,35.714,27.66,0.58,0.01,0.00
60,0.00104,0.00019,0.00000,0.00006,258.935,28.59,0.60,0.01,0.00
61,0.00148,0.00104,0.00096,0.00202,1.539,29.55,0.62,0.01,0.00
62,0.00101,0.00010,0.00110,0.00179,0.920,30.52,0.64,0.01,0.00
63,0.00214,0.00164,0.00100,0.00000,2.136,31.50,0.66,0.02,0.00
64,0.00209,0.00385,0.00100,0.00000,2.086,32.50,0.68,0.02,0.00
65,0.00191,0.00388,0.00100,0.00000,1.906,33.52,0.70,0.02,0.00
66,0.00184,0.00099,0.00102,0.00054,1.799,34.55,0.72,0.02,0.00
67,0.00302,0.00100,0.00187,0.01052,1.620,35.59,0.74,0.02,0.00
68,0.00294,0.00159,0.00100,0.00000,2.940,36.66,0.76,0.02,0.00
69,0.00314,0.00274,0.00100,0.00000,3.142,37.73,0.79,0.02,0.00
70,0.00302,0.00403,0.00101,0.00011,2.994,38.83,0.81,0.02,0.00
71,0.00426,0.00749,0.00147,0.00154,2.903,39.94,0.83,0.02,0.00
72,0.00316,0.00614,0.00103,0.00058,3.074,41.06,0.86,0.02,0.00
73,0.00316,0.00334,0.00103,0.00054,3.074,42.20,0.88,0.02,0.00
74,0.00301,0.00259,0.00107,0.00152,2.809,43.36,0.90,0.02,0.00
75,0.00352,0.00089,0.00100,0.00000,3.518,44.53,0.93,0.02,0.00
76,0.00237,0.00228,0.00100,0.00000,2.366,45.72,0.95,0.02,0.00
77,0.00506,0.00437,0.00120,0.00040,4.232,46.92,0.98,0.02,0.00
78,0.00287,0.00140,0.00108,0.00108,2.666,48.14,1.00,0.02,0.00
79,0.00227,0.00107,0.00202,0.00049,1.121,49.38,1.03,0.02,0.00
80,0.00337,0.00200,0.00204,0.00081,1.647,50.62,1.05,0.02,0.00
81,0.00444,0.00130,0.00203,0.00063,2.188,51.89,1.08,0.03,0.00
82,0.00492,0.01680,0.00205,0.00072,2.405,53.17,1.11,0.03,0.00
83,0.00302,0.00013,0.00281,0.00463,1.073,54.47,1.13,0.03,0.00
84,0.00309,0.00090,0.00326,0.00585,0.950,55.78,1.16,0.03,0.00
85,0.00544,0.04592,0.00263,0.01350,2.067,57.11,1.19,0.03,0.00
86,0.00353,0.00268,0.00270,0.00270,1.305,58.45,1.22,0.03,0.00
87,0.00504,0.00089,0.00203,0.00054,2.485,59.81,1.25,0.03,0.00
88,0.00509,0.00192,0.00334,0.00077,1.525,61.19,1.27,0.03,0.00
89,0.00309,0.00106,0.00222,0.00144,1.388,62.58,1.30,0.03,0.00
90,0.00512,0.00229,0.00308,0.00103,1.663,63.98,1.33,0.03,0.00
91,0.00457,0.00638,0.00201,0.00009,2.274,65.41,1.36,0.03,0.00
92,0.00547,0.00150,0.00345,0.00075,1.587,66.84,1.39,0.03,0.00
93,0.00442,0.00256,0.00207,0.00080,2.138,68.30,1.42,0.03,0.00
94,0.00542,0.00341,0.00299,0.00013,1.816,69.77,1.45,0.03,0.00
95,0.00420,0.00139,0.00201,0.00010,2.090,71.25,1.48,0.03,0.00
96,0.00495,0.01120,0.00305,0.00103,1.623,72.75,1.52,0.04,0.00
